,predictor,AIC
105,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'coverp'],38873.218499409675
106,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'powerc'],38887.63169690443
107,['ageph' 'lat' 'long' 'agecar' 'sexp' 'coverp' 'powerc'],38868.30955621206
108,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc'],38763.513425640165
109,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc'],38764.433839815814
110,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'coverp'],38739.31488060681
111,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'powerc'],38759.291213855395
112,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc'],38876.43624691615
113,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'coverp'],38857.49282442362
114,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'powerc'],38870.86460435307
115,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'coverp'],38858.96350358247
116,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'powerc'],38872.62695595368
117,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'coverp' 'powerc'],38851.72600036603
118,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc'],38779.89781050063
119,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'coverp'],38756.89972289196
120,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'powerc'],38777.74191616881
121,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'coverp'],38757.020503911794
122,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'powerc'],38777.71100566166
123,['ageph' 'lat' 'long' 'agecar' 'split' 'coverp' 'powerc'],38753.50372193522
124,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'coverp'],38875.00236530378
125,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'powerc'],38889.461621647
126,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'coverp' 'powerc'],38871.38956490334
127,['ageph' 'lat' 'long' 'agecar' 'sportc' 'coverp' 'powerc'],38871.75999291457
128,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc'],38769.90891020231
129,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc'],38771.16546912603
130,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'coverp'],38741.77977082175
131,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'powerc'],38765.9608978036
132,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc'],38884.489560896254
133,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'coverp'],38860.08136854878
134,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'powerc'],38879.083666558305
135,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'coverp'],38861.77633409415
136,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'powerc'],38881.64281749291
137,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'coverp' 'powerc'],38852.29316349958
138,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc'],38786.75498044099
139,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'coverp'],38761.90392508292
140,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'powerc'],38784.39165370138
141,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'coverp'],38762.13542919993
142,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'powerc'],38784.804050349754
143,['ageph' 'lat' 'long' 'sexp' 'split' 'coverp' 'powerc'],38756.85737029757
144,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'coverp'],38879.87623161588
145,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'powerc'],38897.96575155546
146,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'coverp' 'powerc'],38874.78468004698
147,['ageph' 'lat' 'long' 'sexp' 'sportc' 'coverp' 'powerc'],38875.386367719984
148,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc'],38775.47255532596
149,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'coverp'],38746.73433429159
150,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'powerc'],38771.99051116487
151,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'coverp'],38747.05133177562
152,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'powerc'],38772.64001958828
153,['ageph' 'lat' 'long' 'fuelc' 'split' 'coverp' 'powerc'],38739.60072872648
154,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'coverp'],38865.79135123551
155,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'powerc'],38886.22211503298
156,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'coverp' 'powerc'],38858.73646896372
