,predictor,BIC
131,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split'],311265.4249798863
132,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc'],311390.80808584456
133,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc'],311276.09150760993
134,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'coverp'],311319.5649905515
135,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'powerc'],311291.2737062737
136,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split'],311333.11231427954
137,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc'],311463.8426199116
138,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc'],311365.19934286876
139,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'coverp'],311365.8801082959
140,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'powerc'],311356.7427782518
141,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc'],311316.6580040333
142,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc'],311209.0377015195
143,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'coverp'],311238.21758167155
144,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'powerc'],311212.61836165545
145,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc'],311342.0221079064
146,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'coverp'],311348.4681431294
147,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'powerc'],311333.37375611585
148,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'coverp'],311183.9150834646
149,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'powerc'],311272.99146720744
150,['ageph' 'lat' 'long' 'agecar' 'usec' 'coverp' 'powerc'],311306.6337402041
151,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split'],311304.6115624853
